cluster_id,ligand_name,pdb_id,pose_rank,minimizedAffinity,CNNscore,CNNaffinity
110,OADMET-0006503,1m13,1,-8.40769482,0.831561923,6.64957571
110,OADMET-0006503,1m13,2,-7.23115396,0.797431827,6.72148132
110,OADMET-0006503,1m13,3,-7.02839279,0.742735922,6.46878195
110,OADMET-0006503,1m13,4,-6.8206749,0.701866746,6.20783854
110,OADMET-0006503,1m13,5,-7.98688459,0.696819425,6.16749954
110,OADMET-0006503,1nrl,1,-7.77432728,0.909258664,6.92818689
110,OADMET-0006503,1nrl,2,-7.11259174,0.866263926,6.52772331
110,OADMET-0006503,1nrl,3,-7.05607319,0.825249374,6.65396357
110,OADMET-0006503,1nrl,4,-7.30694389,0.824156046,6.80585098
110,OADMET-0006503,1nrl,5,-8.57451439,0.761097014,6.76110411
110,OADMET-0006503,1skx,1,-7.05628681,0.892866671,6.89220619
110,OADMET-0006503,1skx,2,-7.39070606,0.860786617,6.38256025
110,OADMET-0006503,1skx,3,-7.01436853,0.853744507,6.52988243
110,OADMET-0006503,1skx,4,-7.32550478,0.811708748,6.41487265
110,OADMET-0006503,1skx,5,-6.292449,0.785030365,6.45283747
110,OADMET-0006503,2o9i,1,-7.22121143,0.704553425,7.4142766
110,OADMET-0006503,2o9i,2,-8.60612297,0.586790919,7.53868437
110,OADMET-0006503,2o9i,3,-7.45515108,0.54979831,7.16335869
110,OADMET-0006503,2o9i,4,-7.05353642,0.532395661,6.98224497
110,OADMET-0006503,2o9i,5,-7.62941551,0.530386806,6.67558336
110,OADMET-0006503,2qnv,1,-7.51561642,0.843224764,6.6386857
110,OADMET-0006503,2qnv,2,-6.69921255,0.832661748,6.47392607
110,OADMET-0006503,2qnv,3,-7.26266146,0.815406084,6.60727453
110,OADMET-0006503,2qnv,4,-7.15119839,0.785284758,6.52006769
110,OADMET-0006503,2qnv,5,-6.17346144,0.783563912,6.11396217
110,OADMET-0006503,3hvl,1,-7.91019678,0.934211731,6.91701555
110,OADMET-0006503,3hvl,2,-7.46260548,0.89823401,6.64349556
110,OADMET-0006503,3hvl,3,-7.92651558,0.89383018,6.2202754
110,OADMET-0006503,3hvl,4,-7.86506414,0.84156543,5.76837397
110,OADMET-0006503,3hvl,5,-7.44357347,0.734629691,6.15525103
110,OADMET-0006503,3r8d,1,-7.96795893,0.913601279,6.60259247
110,OADMET-0006503,3r8d,2,-7.48279476,0.867911041,6.59617233
110,OADMET-0006503,3r8d,3,-7.40309286,0.782295704,5.83213282
110,OADMET-0006503,3r8d,4,-7.5865469,0.756118238,6.33663177
110,OADMET-0006503,3r8d,5,-7.45169449,0.751388311,6.42692327
110,OADMET-0006503,4ny9,1,-7.09018803,0.933416605,6.38953543
110,OADMET-0006503,4ny9,2,-7.55142355,0.90523839,6.34811783
