cluster_id,ligand_name,pdb_id,pose_rank,minimizedAffinity,CNNscore,CNNaffinity
21,OADMET-0006596,7axc,1,-8.65866089,0.92876035,6.35813332
21,OADMET-0006596,8e3n,1,-8.24562359,0.848492503,6.37054396
21,OADMET-0006596,7axf,1,-8.40301228,0.847001433,6.64947367
21,OADMET-0006596,4xhd,1,-8.30805588,0.832945824,6.72798491
21,OADMET-0006596,5x0r,1,-7.72970915,0.827410519,6.26295853
21,OADMET-0006596,7axh,1,-8.16475201,0.800638795,5.97395754
21,OADMET-0006596,6xp9,1,-8.2727356,0.795870483,6.43823671
21,OADMET-0006596,7axe,1,-7.75090647,0.794994712,6.34667778
21,OADMET-0006596,1skx,1,-6.35684824,0.787812173,5.60348082
21,OADMET-0006596,4ny9,1,-9.25274944,0.784719884,6.43114853
21,OADMET-0006596,9fzi,1,-8.51033115,0.777437985,6.31664896
21,OADMET-0006596,5a86,1,-9.02386665,0.768751264,6.33623314
21,OADMET-0006596,7axl,1,-8.9230299,0.767576993,7.35469007
21,OADMET-0006596,8svp,1,-8.22270393,0.765093863,6.50278425
21,OADMET-0006596,8fpe,1,-8.48209095,0.756776333,7.01220942
21,OADMET-0006596,4s0t,1,-9.0188055,0.75665462,6.18911886
21,OADMET-0006596,7axa,1,-7.97843981,0.751735628,6.35592508
21,OADMET-0006596,8svs,1,-8.87894344,0.748330653,6.2015934
21,OADMET-0006596,7axd,1,-8.11076164,0.740308881,6.46053743
21,OADMET-0006596,8svo,1,-8.43401432,0.730050862,5.76106405
21,OADMET-0006596,8szv,1,-8.59923744,0.724748492,7.34071541
21,OADMET-0006596,1nrl,1,-8.55985069,0.719598353,6.02160788
21,OADMET-0006596,7rio,1,-8.01348972,0.718280613,6.3842907
21,OADMET-0006596,8r81,1,-7.95215559,0.713202298,6.50925303
21,OADMET-0006596,6hj2,1,-7.69514132,0.712192178,5.96960402
21,OADMET-0006596,4x1f,1,-7.89591551,0.704235196,6.05779886
21,OADMET-0006596,9fzj,1,-7.8141098,0.697950721,6.57707071
21,OADMET-0006596,8cct,1,-8.29618168,0.692747414,6.15330267
21,OADMET-0006596,1m13,1,-7.95856142,0.69088465,6.56266737
21,OADMET-0006596,6dup,1,-8.12710094,0.690786898,6.29342699
21,OADMET-0006596,7axg,1,-8.22289371,0.690142751,6.53494263
21,OADMET-0006596,6bns,1,-8.18847084,0.686388493,6.01811171
21,OADMET-0006596,8f5y,1,-8.09812069,0.684052467,7.20696259
21,OADMET-0006596,2qnv,1,-7.57442331,0.675006866,6.00155401
21,OADMET-0006596,4x1g,1,-8.14475632,0.66739285,6.4442668
21,OADMET-0006596,7ax9,1,-7.52977943,0.656738162,5.94117212
21,OADMET-0006596,8svq,1,-7.46019793,0.654698551,5.76635122
21,OADMET-0006596,8r82,1,-8.52275467,0.652128816,6.4108963
21,OADMET-0006596,8ch8,1,-7.03443336,0.651744127,6.79017019
21,OADMET-0006596,8svr,1,-7.21904802,0.648312449,5.99350214
21,OADMET-0006596,3r8d,1,-6.95013809,0.646630883,6.17007637
21,OADMET-0006596,6p2b,1,-7.65998077,0.641091943,6.03240061
21,OADMET-0006596,8eqz,1,-8.31948853,0.62892431,5.83021784
21,OADMET-0006596,7axb,1,-8.4588089,0.617280364,5.65268183
21,OADMET-0006596,7n2a,1,-7.92446375,0.616666555,6.27425909
21,OADMET-0006596,3hvl,1,-8.06767178,0.614460588,6.06125498
21,OADMET-0006596,2o9i,1,-9.23417377,0.61370796,7.31552696
21,OADMET-0006596,8cf9,1,-7.65301609,0.608644903,6.10475016
21,OADMET-0006596,7axj,1,-7.69347286,0.596065223,6.82001495
21,OADMET-0006596,6s41,1,-7.51512718,0.591003895,7.26556253
21,OADMET-0006596,8svt,1,-7.28639412,0.548683286,5.8333478
21,OADMET-0006596,7axk,1,-8.38350391,0.528799117,7.41161537
21,OADMET-0006596,6nx1,1,-7.82158422,0.521796167,7.41522455
21,OADMET-0006596,7axi,1,-7.44162083,0.518895984,6.66967773
21,OADMET-0006596,7riu,1,-8.2050581,0.516545653,7.05575562
21,OADMET-0006596,6tfi,1,-7.73411179,0.515342593,6.05199289
21,OADMET-0006596,8svx,1,-8.69821262,0.51207757,5.72014809
21,OADMET-0006596,7riv,1,-7.24849701,0.50379765,6.23433638
21,OADMET-0006596,7yfk,1,-7.81151438,0.492384732,7.11923027
21,OADMET-0006596,8r00,1,-8.04940891,0.447883219,6.76041794
21,OADMET-0006596,9beq,1,-8.08992481,0.43936646,6.38011742
21,OADMET-0006596,6hty,1,-7.62871075,0.426074266,6.75021791
28,OADMET-0006589,5a86,1,-7.82272959,0.942840874,6.9406333
28,OADMET-0006589,4ny9,1,-6.89338541,0.912878811,6.76952219
28,OADMET-0006589,7axf,1,-7.55436563,0.909172118,7.03120184
28,OADMET-0006589,9fzi,1,-6.55423403,0.904422343,6.28737116
28,OADMET-0006589,7axh,1,-7.37913132,0.902994752,6.95147753
28,OADMET-0006589,4s0t,1,-7.51467037,0.897100449,6.99171448
28,OADMET-0006589,7ax9,1,-7.23983812,0.892826915,7.01000595
28,OADMET-0006589,8cf9,1,-7.58942699,0.888118446,6.69540024
28,OADMET-0006589,1skx,1,-6.69033623,0.873962164,6.02271032
28,OADMET-0006589,8eqz,1,-7.39469862,0.872752428,6.69105864
28,OADMET-0006589,7axe,1,-7.95819092,0.867148876,6.9317832
28,OADMET-0006589,1m13,1,-7.12957478,0.864390194,6.88382864
28,OADMET-0006589,4x1f,1,-6.7833581,0.860172093,6.99709463
28,OADMET-0006589,8r82,1,-7.75708342,0.856881022,6.45750427
28,OADMET-0006589,7axa,1,-7.94861412,0.856692493,6.55839157
28,OADMET-0006589,6p2b,1,-7.14759207,0.853161156,6.76311445
28,OADMET-0006589,6bns,1,-6.53415203,0.849281847,6.42570257
28,OADMET-0006589,8f5y,1,-6.66769218,0.848137856,7.38743973
28,OADMET-0006589,1nrl,1,-7.02888489,0.847220421,6.28353453
28,OADMET-0006589,4xhd,1,-7.38299751,0.843852282,6.71974373
28,OADMET-0006589,2qnv,1,-7.16674566,0.835124075,6.06472921
28,OADMET-0006589,8svp,1,-7.15023136,0.833722174,6.69484568
28,OADMET-0006589,8svr,1,-6.46251392,0.831124723,6.48734665
28,OADMET-0006589,8r81,1,-6.69072676,0.824481487,6.76876068
28,OADMET-0006589,2o9i,1,-7.03516102,0.820774317,7.16732216
28,OADMET-0006589,8svs,1,-6.50837755,0.818840206,6.49966097
28,OADMET-0006589,7n2a,1,-7.1652813,0.818225682,6.78727722
28,OADMET-0006589,5x0r,1,-6.94310713,0.811392784,6.21689272
28,OADMET-0006589,9fzj,1,-7.0437274,0.805934489,6.40449953
