cluster_id,ligand_name,best_pdb_id,best_pose_rank,best_CNNscore,best_CNNaffinity,best_minimizedAffinity,mean_CNNscore_across_receptors,std_CNNscore_across_receptors,top3_receptors,top3_CNNscores,n_receptors_success,n_receptors_total
A0063,OCNT-2318237,9fzi,1,0.911554873,6.08329058,-9.70013428,0.7220043121451613,0.12524826155194074,"9fzi,8svp,9fzj","0.912,0.899,0.894",62,62
A0081,OCNT-2318111,1skx,1,0.950551271,6.75559568,-7.61633205,0.745143937467742,0.1333907062201778,"1skx,4x1f,8svr","0.951,0.923,0.921",62,62
A0165,OCNT-2317468,3r8d,1,0.970407724,5.98082972,-8.31523895,0.8378976150967741,0.09762195708693581,"3r8d,7axf,7axa","0.970,0.956,0.951",62,62
A0269,OCNT-2316634,4xhd,1,0.892365694,6.66328621,-7.57865477,0.7311850098387098,0.10282665659593761,"4xhd,1nrl,8szv","0.892,0.887,0.869",62,62
A0305,OCNT-2316356,5x0r,1,0.797236025,6.69841433,-8.24799347,0.5840491239354838,0.10042306519795532,"5x0r,8svp,3hvl","0.797,0.788,0.777",62,62
A0399,OCNT-2315710,4x1g,1,0.860543489,6.36937666,-9.28182507,0.6855614775967741,0.12224477571909824,"4x1g,6tfi,9fzj","0.861,0.848,0.845",62,62
A0562,OCNT-2314578,8svs,1,0.835882246,7.01262522,-10.3180351,0.49242475270967745,0.15582807397070556,"8svs,8r81,5a86","0.836,0.824,0.788",62,62
A0679,OCNT-2313639,7axb,1,0.909805775,6.87275839,-8.85204411,0.6314382101612901,0.141424708853852,"7axb,6p2b,7ax9","0.910,0.886,0.876",62,62
A0903,OCNT-2312122,8svs,1,0.912974358,6.75016642,-9.43196774,0.6921127145806453,0.11910671367917675,"8svs,6xp9,8r81","0.913,0.901,0.891",62,62
A0997,OCNT-2311292,9fzi,1,0.9435063,6.66026306,-8.29894638,0.7112834856935485,0.16704711186679166,"9fzi,4x1g,4x1f","0.944,0.935,0.919",62,62
A1034,OCNT-2310934,7n2a,1,0.895217061,6.83276939,-9.4042778,0.6312827141290323,0.15856784429516005,"7n2a,9fzi,7rio","0.895,0.872,0.866",62,62
A1054,OCNT-2310728,1skx,1,0.971409619,6.4213109,-7.0589776,0.8118824892258064,0.09260756298683397,"1skx,7axc,5x0r","0.971,0.954,0.948",62,62
A1062,OCNT-2310646,8r82,1,0.930890441,7.16326714,-7.07430649,0.6835691505967741,0.15546004447106382,"8r82,2qnv,6dup","0.931,0.895,0.890",62,62
A1139,OCNT-2309995,1skx,1,0.965398431,7.1474719,-9.40599823,0.7408354792258066,0.14295306635168975,"1skx,8svs,9fzj","0.965,0.917,0.916",62,62
A1282,OCNT-2309230,5a86,1,0.903799117,6.33659983,-7.98939514,0.7714448503870968,0.0958046068876787,"5a86,7rio,7axe","0.904,0.903,0.900",62,62
A1352,OCNT-2308873,7axe,1,0.917371869,6.89531279,-9.03217602,0.7305408692903226,0.11597874223627537,"7axe,8fpe,7axc","0.917,0.910,0.910",62,62
A1443,OCNT-2310748,8svq,1,0.911207795,6.79431009,-8.45142746,0.7670580504516129,0.09075223150938969,"8svq,1skx,7axc","0.911,0.908,0.900",62,62
A1848,OCNT-2318616,6tfi,1,0.938073874,7.21618032,-10.7961721,0.6051992091612902,0.16433304083147876,"6tfi,5a86,7ax9","0.938,0.887,0.865",62,62
A1850,OCNT-2318568,8r82,1,0.900139332,6.93650818,-9.00295448,0.6793625563870967,0.13370947685245707,"8r82,7axe,8svo","0.900,0.877,0.863",62,62
