cluster_id,ligand_name,pdb_id,pose_rank,minimizedAffinity,CNNscore,CNNaffinity
A0063,OCNT-2318237,9fzi,1,-9.70013428,0.911554873,6.08329058
A0063,OCNT-2318237,8svp,1,-10.0936441,0.899080575,7.23443556
A0063,OCNT-2318237,9fzj,1,-10.4182072,0.894136846,5.93330193
A0063,OCNT-2318237,8e3n,1,-9.53640556,0.891527474,6.36142921
A0063,OCNT-2318237,8svt,1,-10.3291597,0.891206622,6.88128805
A0063,OCNT-2318237,1nrl,1,-9.85998726,0.878319383,6.51590872
A0063,OCNT-2318237,3hvl,1,-10.5859261,0.876176715,5.92602015
A0063,OCNT-2318237,7axd,1,-9.20100307,0.869511545,6.08334494
A0063,OCNT-2318237,8cct,1,-7.7073741,0.855330586,6.10164261
A0063,OCNT-2318237,6tfi,1,-10.3430185,0.846628964,6.43300867
A0063,OCNT-2318237,1skx,1,-8.62528515,0.842585802,6.38685465
A0063,OCNT-2318237,7axh,1,-6.99022722,0.840665877,6.25328636
A0063,OCNT-2318237,8svo,1,-8.96689606,0.837409019,6.48078012
A0063,OCNT-2318237,4x1g,1,12.9645681,0.836160362,6.06693125
A0063,OCNT-2318237,4ny9,1,-9.48424435,0.834384978,6.02712297
A0063,OCNT-2318237,4xhd,1,-7.54943848,0.827681661,6.33977556
A0063,OCNT-2318237,8ch8,1,-9.86207771,0.807665467,7.11519098
A0063,OCNT-2318237,7axb,1,-7.88554716,0.798114002,6.35237837
A0063,OCNT-2318237,7axa,1,-8.9813776,0.79716754,6.54201365
A0063,OCNT-2318237,2qnv,1,-7.77556562,0.793610454,6.00483465
A0063,OCNT-2318237,1m13,1,-9.25566292,0.792520165,5.90502691
A0063,OCNT-2318237,8r81,1,-10.7445459,0.786728263,6.40455484
A0063,OCNT-2318237,5x0r,1,-10.017169,0.786370873,6.40518045
A0063,OCNT-2318237,8svs,1,18.2607574,0.767564833,6.6644187
A0063,OCNT-2318237,6p2b,1,-8.48989105,0.7603392,6.05882835
A0063,OCNT-2318237,4s0t,1,8.62138176,0.759095013,5.36447573
A0063,OCNT-2318237,7axc,1,-6.31529236,0.75604707,5.37891054
A0063,OCNT-2318237,8r82,1,-9.07214928,0.74882412,6.26202154
A0063,OCNT-2318237,6hj2,1,-9.04167175,0.748663425,6.1860671
A0063,OCNT-2318237,7rio,1,-9.39862823,0.744790077,6.30242014
A0063,OCNT-2318237,6hty,1,10.6601973,0.73999691,7.61419344
A0063,OCNT-2318237,8svx,1,20.6817589,0.734279335,6.18107605
