Molecule Name,ligand_id,pEC50,pEC50_std.error (-log10(molarity)),CNNscore,CNNaffinity,minimizedAffinity,pdb_id
OADMET-0006617,T000,3.515,0.306,0.868561089,6.40988159,-9.56371975,6xp9
OADMET-0006615,T002,5.335,0.08535,0.925958455,6.98872423,-9.70189285,1skx
OADMET-0006612,T005,4.28,0.1714999999999999,0.953285635,6.46733236,-9.22461605,8cct
OADMET-0006610,T007,4.949999999999999,0.1015,0.950267076,6.51408386,-8.74210739,8e3n
OADMET-0006609,T008,2.015,0.4955,0.911650658,6.57341528,-4.97496748,8eqz
OADMET-0006606,T011,5.49,0.0899,0.891633034,6.20192719,-8.09929752,7axa
OADMET-0006604,T013,4.715,0.08755,0.944167137,6.73754644,-11.4056416,5a86
OADMET-0006603,T014,2.275,0.4695,0.96994549,6.61052942,-9.92745972,4xhd
OADMET-0006600,T017,3.99,0.1835,0.91150403,6.24941635,-7.14122725,7axa
OADMET-0006599,T018,2.3600000000000003,0.406,0.916224122,6.24382639,-6.35265541,5x0r
OADMET-0006597,T020,5.215,0.12605,0.904028535,7.24546099,-10.5126104,9fzi
OADMET-0006596,T021,4.89,0.10535,0.864591479,6.37828779,-8.18293667,7axc
OADMET-0006593,T024,4.46,0.2299999999999999,0.930745244,7.0283699,-9.80950546,8svo
OADMET-0006589,T028,3.42,0.2585,0.940283895,6.94327688,-7.79743862,5a86
OADMET-0006587,T030,5.31,0.0724,0.921281219,6.21348381,-8.56791782,6hj2
OADMET-0006585,T032,4.215,0.2705,0.9017542,6.6807785,-10.1245508,8svp
OADMET-0006582,T035,4.67,0.20495,0.956803381,6.20219088,-8.24655724,8svr
OADMET-0006581,T036,5.395,0.0586,0.881092429,7.07483339,-8.76086903,1nrl
OADMET-0006580,T037,5.265,0.0855,0.89182204,6.07568407,-7.66984177,1nrl
OADMET-0006579,T038,5.15,0.1491,0.916306674,7.03603172,-7.89277124,8r81
OADMET-0006578,T039,4.890000000000001,0.089,0.956004739,5.77435923,-8.571311,8r82
OADMET-0006574,T043,5.405,0.0511,0.892199993,6.3769393,-7.45919371,1skx
OADMET-0006573,T044,4.775,0.1643,0.830272257,6.38920593,-6.05523014,2qnv
OADMET-0006570,T047,4.84,0.1139999999999999,0.919497371,6.54837942,-7.46123075,7rio
OADMET-0006568,T048,5.105,0.1385,0.960901856,7.36354065,-8.61018372,8svx
OADMET-0006567,T049,4.835,0.189,0.908347309,6.36356544,-8.29049206,7rio
OADMET-0006566,T050,1.945,0.6145,0.952341735,7.31138849,-8.34997749,4ny9
OADMET-0006565,T051,4.975,0.09385,0.883478701,6.81986475,-7.35423374,6xp9
OADMET-0006564,T052,5.13,0.12985,0.949414432,7.21704483,-8.01169205,8r81
OADMET-0006561,T054,5.305,0.136,0.945341349,6.50326538,-7.89437437,6tfi
OADMET-0006559,T056,4.245,0.2265,0.929619849,6.27544641,-6.68457651,8r82
OADMET-0006557,T058,4.63,0.151,0.904012561,6.13796091,-7.31722927,1skx
OADMET-0006555,T060,5.335,0.05325,0.944765806,6.00669146,-8.58190918,8r82
OADMET-0006552,T063,5.41,0.06555,0.936940372,7.03244066,-7.80096769,7axe
OADMET-0006548,T067,4.065,0.2505,0.946694374,5.95574236,-7.53279161,7axe
OADMET-0006547,T068,4.925000000000001,0.10535,0.955143332,7.05622435,-8.36795807,6hj2
OADMET-0006546,T069,6.72,0.0651,0.962915123,6.82423973,-9.0762167,7axc
OADMET-0006545,T070,4.96,0.104,0.92836231,6.1968627,-7.93881464,7axf
OADMET-0006544,T071,4.87,0.16905,0.967372954,6.62303209,-7.96549463,8svt
OADMET-0006542,T073,5.565,0.0501999999999999,0.905745208,6.87768936,-9.40283012,1skx
OADMET-0006540,T075,5.805,0.093,0.957709789,6.62846899,-8.90795898,7axc
OADMET-0006539,T076,5.390000000000001,0.07325,0.934716761,6.87733459,-8.54959583,1skx
OADMET-0006536,T078,4.605,0.152,0.93712604,6.06252813,-7.61747646,1skx
OADMET-0006534,T080,2.8200000000000003,0.4065,0.944638252,6.32769966,-8.64689732,8r82
OADMET-0006533,T081,4.655,0.1599499999999999,0.953287184,6.63495684,-7.12805605,6bns
OADMET-0006532,T082,5.25,0.04505,0.9437747,7.22445536,-7.35251427,7ax9
OADMET-0006531,T083,5.955,0.043,0.928474307,7.57469225,-9.64289188,8svt
OADMET-0006530,T084,5.445,0.08005,0.925342083,7.06308174,-7.92563152,8svs
OADMET-0006529,T085,5.375,0.05845,0.965013385,6.47767878,-8.36921787,7axa
OADMET-0006525,T088,4.415,0.259,0.948400915,6.54153585,-8.5720892,8svs
OADMET-0006523,T090,4.76,0.2324999999999999,0.95686543,7.55515051,-10.2140856,8svp
OADMET-0006522,T091,5.625,0.1295,0.933807135,6.76036882,-8.96280193,8cf9
OADMET-0006520,T093,4.845000000000001,0.11,0.915277541,6.70565844,-8.26547527,8r82
OADMET-0006517,T096,4.244999999999999,0.2615,0.915523291,6.25101233,-8.20048523,8svs
