ligand_id,OCNT_ID,pEC50,CNNscore,CNNaffinity,minimizedAffinity,pdb_id
A0063,OCNT-2318237,4.64,0.911554873,6.08329058,-9.70013428,9fzi
A0081,OCNT-2318111,4.81,0.950551271,6.75559568,-7.61633205,1skx
A0165,OCNT-2317468,4.48,0.970407724,5.98082972,-8.31523895,3r8d
A0269,OCNT-2316634,4.47,0.892365694,6.66328621,-7.57865477,4xhd
A0305,OCNT-2316356,4.84,0.797236025,6.69841433,-8.24799347,5x0r
A0399,OCNT-2315710,4.7,0.860543489,6.36937666,-9.28182507,4x1g
A0562,OCNT-2314578,4.09,0.835882246,7.01262522,-10.3180351,8svs
A0679,OCNT-2313639,5.15,0.909805775,6.87275839,-8.85204411,7axb
A0903,OCNT-2312122,4.4,0.912974358,6.75016642,-9.43196774,8svs
A0997,OCNT-2311292,4.73,0.9435063,6.66026306,-8.29894638,9fzi
A1034,OCNT-2310934,4.83,0.895217061,6.83276939,-9.4042778,7n2a
A1054,OCNT-2310728,4.54,0.971409619,6.4213109,-7.0589776,1skx
A1062,OCNT-2310646,5.69,0.930890441,7.16326714,-7.07430649,8r82
A1139,OCNT-2309995,5.33,0.965398431,7.1474719,-9.40599823,1skx
A1282,OCNT-2309230,4.59,0.903799117,6.33659983,-7.98939514,5a86
A1352,OCNT-2308873,4.78,0.917371869,6.89531279,-9.03217602,7axe
A1443,OCNT-2310748,4.89,0.911207795,6.79431009,-8.45142746,8svq
A1848,OCNT-2318616,6.63,0.938073874,7.21618032,-10.7961721,6tfi
A1850,OCNT-2318568,5.92,0.900139332,6.93650818,-9.00295448,8r82
A1870,OCNT-2318346,6.140000000000001,0.91666466,7.86893845,-7.27067709,5x0r
A1874,OCNT-2318311,6.215,0.925518036,7.29414606,-9.872756,6hj2
A1886,OCNT-2318184,5.880000000000001,0.916074693,7.11794806,-11.4329901,4ny9
A1892,OCNT-2318155,5.33,0.948378325,6.34905767,-7.37284374,8svp
A1898,OCNT-2318074,5.89,0.95275414,6.72256804,-8.90942287,5x0r
A1900,OCNT-2318059,6.015000000000001,0.915893376,6.55106401,-9.36004639,8r81
A1905,OCNT-2318048,6.494999999999999,0.911282778,7.7816577,-7.38411045,8r82
A1921,OCNT-2317888,5.66,0.882774293,6.51201296,-9.6031208,8svp
A1930,OCNT-2317682,6.325,0.952383578,6.52367401,-8.85743237,8svq
A1934,OCNT-2317632,6.0,0.956973433,5.94937658,-8.70723248,6bns
A1935,OCNT-2317556,5.955,0.946767807,6.78705072,-10.3540144,8r81
A1936,OCNT-2317538,5.859999999999999,0.956303895,7.22018194,-9.46734619,6tfi
A1938,OCNT-2317528,6.01,0.935717523,7.08931017,-9.3678627,6bns
A1957,OCNT-2317314,5.89,0.939856946,7.9328804,-9.75604916,8r81
A1958,OCNT-2317298,6.845,0.969942927,7.40994406,-9.36287594,1skx
A1960,OCNT-2317296,5.975,0.968208611,7.05423737,-9.4853611,7n2a
A1966,OCNT-2317222,5.85,0.942661583,6.46882105,-8.67541504,8r82
A1975,OCNT-2317134,6.470000000000001,0.945267379,7.58042479,-8.56777573,7ax9
A1986,OCNT-2316920,3.35,0.9239797,6.81641245,10.3392334,6nx1
A2003,OCNT-2316690,6.27,0.936438084,6.73394156,-8.20698929,8svo
A2013,OCNT-2316557,6.255,0.959210157,7.80352974,-9.55589962,8cf9
A2026,OCNT-2316441,6.26,0.917977214,7.76559877,-9.34110165,6xp9
A2027,OCNT-2316438,5.965,0.892764568,7.07106733,-8.64255333,6hj2
A2029,OCNT-2316432,6.09,0.92552793,7.18278885,-8.8151474,7axc
A2054,OCNT-2316194,5.945,0.909502983,7.49268198,-8.50297546,5x0r
A2056,OCNT-2316176,5.77,0.95771873,7.1398778,-8.48731995,7n2a
A2058,OCNT-2316154,5.865,0.966198146,6.95551348,-8.36810398,6dup
A2077,OCNT-2315950,5.865,0.959342062,7.66896486,-8.619133,6xp9
A2097,OCNT-2315653,5.99,0.973890662,7.30678368,-9.74061108,9fzj
A2101,OCNT-2315609,6.18,0.929797232,6.75529623,-8.3655405,1skx
A2108,OCNT-2315483,6.105,0.783035517,6.84718323,-8.51420879,1nrl
A2109,OCNT-2315472,6.6850000000000005,0.881507754,6.30268097,-7.03822279,5a86
A2122,OCNT-2315366,5.99,0.937800884,6.73844194,-8.82859707,7axc
A2126,OCNT-2315327,6.215,0.91378355,7.55570364,-10.8768415,4x1g
A2140,OCNT-2315209,5.77,0.958324432,6.47318649,-10.6869211,8svr
A2177,OCNT-2314792,4.71,0.952758431,6.9207139,-8.46882248,7axh
A2267,OCNT-2313609,5.9,0.935377419,6.79154444,-7.27897787,7axf
A2342,OCNT-2313188,6.205,0.896867633,7.00254202,-10.5720768,4xhd
A2412,OCNT-2312865,5.915,0.946302891,7.23503256,-9.04016495,4x1g
A2436,OCNT-2312754,5.79,0.952275455,7.30905533,-9.89181709,8svq
A2467,OCNT-2312559,2.67,0.821182013,7.38656425,-10.6277809,7axj
A2496,OCNT-2312239,5.83,0.889018536,6.32924271,-7.81885242,7axa
A2502,OCNT-2312208,1.76,0.916940153,6.92725945,-7.1401515,6xp9
A2526,OCNT-2312002,5.64,0.941856205,6.31112099,-9.7011261,4ny9
A2535,OCNT-2311864,6.345000000000001,0.938140452,6.74224472,-8.65493393,8svr
A2544,OCNT-2311806,5.949999999999999,0.909273267,6.67308092,-7.41612291,1nrl
A2547,OCNT-2311752,5.775,0.93834579,7.18111944,-8.8930254,7axb
A2557,OCNT-2311662,5.84,0.880344808,7.37273979,-11.2725153,8svq
A2558,OCNT-2311638,5.0,0.926285923,6.5365181,-8.42958736,3r8d
A2563,OCNT-2311573,6.125,0.948652804,7.49535894,-8.49109936,7axf
A2574,OCNT-2311393,5.925000000000001,0.941381276,6.63371658,-8.12321377,6bns
A2586,OCNT-2311249,6.27,0.96160084,7.56507492,-12.0845537,8cct
A2587,OCNT-2311187,5.904999999999999,0.890695751,6.55121613,-10.0869722,7axf
A2593,OCNT-2311117,6.32,0.881032586,6.90058136,-8.2862463,3hvl
A2633,OCNT-2310554,6.115,0.925695002,6.71904612,-9.28406239,8svo
A2667,OCNT-2310167,6.07,0.952774048,7.41451883,-10.6092424,8svp
A2693,OCNT-2309935,5.76,0.950513124,7.10083199,-10.4230804,8r81
A2704,OCNT-2309868,4.78,0.928896248,6.00761414,-7.64073563,8svo
A2717,OCNT-2309628,6.045,0.94214642,6.90392542,-9.07126331,8r81
A2722,OCNT-2309591,6.11,0.953247607,7.4107089,-10.3331537,8r81
A2747,OCNT-2309356,6.855,0.9322294,6.71772766,-10.1543293,4x1g
A2749,OCNT-2309319,5.915,0.963034332,7.01909018,-9.14580727,6bns
A2771,OCNT-2309093,5.15,0.960723639,6.78374624,-6.84856701,7axc
A2779,OCNT-2309025,6.0600000000000005,0.931307197,7.7126503,-9.10184002,7axc
A2791,OCNT-2308748,6.140000000000001,0.961796165,7.45009089,-9.69804764,7axd
A2807,OCNT-2308554,5.54,0.918875515,7.10030174,-9.30173206,6xp9
A2808,OCNT-2308531,6.195,0.954954505,6.98344231,-8.895154,7axa
A2809,OCNT-2308475,6.050000000000001,0.942175448,6.95349836,-8.86590862,7axb
A3161,OCNT-1965945,3.85,0.904809952,4.9516058,-6.27905464,7axa
A3223,OCNT-1965882,1.78,0.916839063,6.16915321,-8.18624783,7rio
