cluster_id,ligand_name,pdb_id,status
118,OADMET-0006495,1m13,success
118,OADMET-0006495,1nrl,success
118,OADMET-0006495,1skx,success
118,OADMET-0006495,2o9i,success
118,OADMET-0006495,2qnv,success
118,OADMET-0006495,3hvl,success
118,OADMET-0006495,3r8d,success
118,OADMET-0006495,4ny9,success
118,OADMET-0006495,4s0t,success
118,OADMET-0006495,4x1f,success
118,OADMET-0006495,4x1g,success
118,OADMET-0006495,4xhd,success
118,OADMET-0006495,5a86,success
118,OADMET-0006495,5x0r,success
118,OADMET-0006495,6bns,success
118,OADMET-0006495,6dup,success
118,OADMET-0006495,6hj2,success
118,OADMET-0006495,6hty,success
118,OADMET-0006495,6nx1,success
118,OADMET-0006495,6p2b,success
118,OADMET-0006495,6s41,success
118,OADMET-0006495,6tfi,success
118,OADMET-0006495,6xp9,success
118,OADMET-0006495,7ax9,success
118,OADMET-0006495,7axa,success
118,OADMET-0006495,7axb,success
118,OADMET-0006495,7axc,success
118,OADMET-0006495,7axd,success
118,OADMET-0006495,7axe,success
118,OADMET-0006495,7axf,success
118,OADMET-0006495,7axg,success
118,OADMET-0006495,7axh,success
118,OADMET-0006495,7axi,success
118,OADMET-0006495,7axj,success
118,OADMET-0006495,7axk,success
118,OADMET-0006495,7axl,success
118,OADMET-0006495,7n2a,success
118,OADMET-0006495,7rio,success
118,OADMET-0006495,7riu,success
118,OADMET-0006495,7riv,success
118,OADMET-0006495,7yfk,success
118,OADMET-0006495,8cct,success
118,OADMET-0006495,8cf9,success
118,OADMET-0006495,8ch8,success
118,OADMET-0006495,8e3n,success
118,OADMET-0006495,8eqz,success
118,OADMET-0006495,8f5y,success
118,OADMET-0006495,8fpe,success
118,OADMET-0006495,8r00,success
118,OADMET-0006495,8r81,success
118,OADMET-0006495,8r82,success
118,OADMET-0006495,8svo,success
118,OADMET-0006495,8svp,success
118,OADMET-0006495,8svq,success
118,OADMET-0006495,8svr,success
118,OADMET-0006495,8svs,success
118,OADMET-0006495,8svt,success
118,OADMET-0006495,8svx,success
118,OADMET-0006495,8szv,success
118,OADMET-0006495,9beq,success
118,OADMET-0006495,9fzi,success
118,OADMET-0006495,9fzj,success
