cluster_id,ligand_name,pdb_id,status
A1062,OCNT-2310646,1m13,success
A1062,OCNT-2310646,1nrl,success
A1062,OCNT-2310646,1skx,success
A1062,OCNT-2310646,2o9i,success
A1062,OCNT-2310646,2qnv,success
A1062,OCNT-2310646,3hvl,success
A1062,OCNT-2310646,3r8d,success
A1062,OCNT-2310646,4ny9,success
A1062,OCNT-2310646,4s0t,success
A1062,OCNT-2310646,4x1f,success
A1062,OCNT-2310646,4x1g,success
A1062,OCNT-2310646,4xhd,success
A1062,OCNT-2310646,5a86,success
A1062,OCNT-2310646,5x0r,success
A1062,OCNT-2310646,6bns,success
A1062,OCNT-2310646,6dup,success
A1062,OCNT-2310646,6hj2,success
A1062,OCNT-2310646,6hty,success
A1062,OCNT-2310646,6nx1,success
A1062,OCNT-2310646,6p2b,success
A1062,OCNT-2310646,6s41,success
A1062,OCNT-2310646,6tfi,success
A1062,OCNT-2310646,6xp9,success
A1062,OCNT-2310646,7ax9,success
A1062,OCNT-2310646,7axa,success
A1062,OCNT-2310646,7axb,success
A1062,OCNT-2310646,7axc,success
A1062,OCNT-2310646,7axd,success
A1062,OCNT-2310646,7axe,success
A1062,OCNT-2310646,7axf,success
A1062,OCNT-2310646,7axg,success
A1062,OCNT-2310646,7axh,success
A1062,OCNT-2310646,7axi,success
A1062,OCNT-2310646,7axj,success
A1062,OCNT-2310646,7axk,success
A1062,OCNT-2310646,7axl,success
A1062,OCNT-2310646,7n2a,success
A1062,OCNT-2310646,7rio,success
A1062,OCNT-2310646,7riu,success
A1062,OCNT-2310646,7riv,success
A1062,OCNT-2310646,7yfk,success
A1062,OCNT-2310646,8cct,success
A1062,OCNT-2310646,8cf9,success
A1062,OCNT-2310646,8ch8,success
A1062,OCNT-2310646,8e3n,success
A1062,OCNT-2310646,8eqz,success
A1062,OCNT-2310646,8f5y,success
A1062,OCNT-2310646,8fpe,success
A1062,OCNT-2310646,8r00,success
A1062,OCNT-2310646,8r81,success
A1062,OCNT-2310646,8r82,success
A1062,OCNT-2310646,8svo,success
A1062,OCNT-2310646,8svp,success
A1062,OCNT-2310646,8svq,success
A1062,OCNT-2310646,8svr,success
A1062,OCNT-2310646,8svs,success
A1062,OCNT-2310646,8svt,success
A1062,OCNT-2310646,8svx,success
A1062,OCNT-2310646,8szv,success
A1062,OCNT-2310646,9beq,success
A1062,OCNT-2310646,9fzi,success
A1062,OCNT-2310646,9fzj,success
