cluster_id,ligand_name,pdb_id,status
T471,OADMET-0006128,1m13,success
T471,OADMET-0006128,1nrl,success
T471,OADMET-0006128,1skx,success
T471,OADMET-0006128,2o9i,success
T471,OADMET-0006128,2qnv,success
T471,OADMET-0006128,3hvl,success
T471,OADMET-0006128,3r8d,success
T471,OADMET-0006128,4ny9,success
T471,OADMET-0006128,4s0t,success
T471,OADMET-0006128,4x1f,success
T471,OADMET-0006128,4x1g,success
T471,OADMET-0006128,4xhd,success
T471,OADMET-0006128,5a86,success
T471,OADMET-0006128,5x0r,success
T471,OADMET-0006128,6bns,success
T471,OADMET-0006128,6dup,success
T471,OADMET-0006128,6hj2,success
T471,OADMET-0006128,6hty,success
T471,OADMET-0006128,6nx1,success
T471,OADMET-0006128,6p2b,success
T471,OADMET-0006128,6s41,success
T471,OADMET-0006128,6tfi,success
T471,OADMET-0006128,6xp9,success
T471,OADMET-0006128,7ax9,success
T471,OADMET-0006128,7axa,success
T471,OADMET-0006128,7axb,success
T471,OADMET-0006128,7axc,success
T471,OADMET-0006128,7axd,success
T471,OADMET-0006128,7axe,success
T471,OADMET-0006128,7axf,success
T471,OADMET-0006128,7axg,success
T471,OADMET-0006128,7axh,success
T471,OADMET-0006128,7axi,success
T471,OADMET-0006128,7axj,success
T471,OADMET-0006128,7axk,success
T471,OADMET-0006128,7axl,success
T471,OADMET-0006128,7n2a,success
T471,OADMET-0006128,7rio,success
T471,OADMET-0006128,7riu,success
T471,OADMET-0006128,7riv,success
T471,OADMET-0006128,7yfk,success
T471,OADMET-0006128,8cct,success
T471,OADMET-0006128,8cf9,success
T471,OADMET-0006128,8ch8,success
T471,OADMET-0006128,8e3n,success
T471,OADMET-0006128,8eqz,success
T471,OADMET-0006128,8f5y,success
T471,OADMET-0006128,8fpe,success
T471,OADMET-0006128,8r00,success
T471,OADMET-0006128,8r81,success
T471,OADMET-0006128,8r82,success
T471,OADMET-0006128,8svo,success
T471,OADMET-0006128,8svp,success
T471,OADMET-0006128,8svq,success
T471,OADMET-0006128,8svr,success
T471,OADMET-0006128,8svs,success
T471,OADMET-0006128,8svt,success
T471,OADMET-0006128,8svx,success
T471,OADMET-0006128,8szv,success
T471,OADMET-0006128,9beq,success
T471,OADMET-0006128,9fzi,success
T471,OADMET-0006128,9fzj,success
