cluster_id,transform_name,edge,leg,status,fail_type,fail_msg,ddg_estimate,ddg_uncertainty,result_location,wall_clock_s,gpu_name,gpu_capability,gpu_memory_mb,server,slot,num_job_starts,exit_code,wall_clock_h
110,rbfe_OADMET-0006503_complex_OCNT-2317296_complex,rbfe_OADMET-0006503_OCNT-2317296,complex,FAILED,SimulationNaNError,"Propagating replica 1 at state 1 resulted in a NaN!
The state of the system and integrator before the error were saved i",,,,1188,NVIDIA GeForce GTX 1080 Ti,6.1,11165,gitter0000.chtc.wisc.edu,slot2_1@gitter0000.chtc.wisc.edu,11,1,0.33
110,rbfe_OADMET-0006503_solvent_OCNT-2317296_solvent,rbfe_OADMET-0006503_OCNT-2317296,solvent,FAILED,SimulationNaNError,"Propagating replica 8 at state 8 resulted in a NaN!
The state of the system and integrator before the error were saved i",,,,4,NVIDIA GeForce RTX 2080 Ti,7.5,11004,vetsigian0001.chtc.wisc.edu,slot2_1@vetsigian0001.chtc.wisc.edu,11,2,0.0011111111111111111
118,rbfe_OCNT-2310728_complex_OADMET-0006495_complex,rbfe_OCNT-2310728_OADMET-0006495,complex,COMPLETED,,,134.6714320200677,0.0,inner,10866,NVIDIA GeForce RTX 2080 Ti,7.5,11004,vetsigian0001.chtc.wisc.edu,slot2_7@vetsigian0001.chtc.wisc.edu,1,0,3.0183333333333335
118,rbfe_OCNT-2310728_solvent_OADMET-0006495_solvent,rbfe_OCNT-2310728_OADMET-0006495,solvent,COMPLETED,,,136.2357323555456,0.0,inner,2200,NVIDIA L40S,8.9,45468,jcaicedogpu0002.chtc.wisc.edu,backfill1_6@jcaicedogpu0002.chtc.wisc.edu,1,0,0.6111111111111112
129,rbfe_OADMET-0006484_complex_OCNT-2317528_complex,rbfe_OADMET-0006484_OCNT-2317528,complex,COMPLETED,,,-27.655325851039432,0.0,inner,19031,NVIDIA GeForce GTX 1080 Ti,6.1,11165,gitter0000.chtc.wisc.edu,slot2_1@gitter0000.chtc.wisc.edu,1,0,5.286388888888889
129,rbfe_OADMET-0006484_solvent_OCNT-2317528_solvent,rbfe_OADMET-0006484_OCNT-2317528,solvent,COMPLETED,,,-37.09325136699534,0.0,inner,4367,NVIDIA GeForce RTX 2080 Ti,7.5,10823,gpulab2001.chtc.wisc.edu,slot2_1@gpulab2001.chtc.wisc.edu,1,0,1.2130555555555556
136,rbfe_OCNT-2317556_complex_OADMET-0006476_complex,rbfe_OCNT-2317556_OADMET-0006476,complex,FAILED,SimulationNaNError,"Propagating replica 0 at state 0 resulted in a NaN!
The state of the system and integrator before the error were saved i",,,,4,NVIDIA A100-SXM4-80GB,8.0,81156,glidein_21051_536508567@spark-agpu225.chtc.wisc.edu,slot1_1@glidein_21051_536508567@spark-agpu225.chtc.wisc.edu,11,2,0.0011111111111111111
136,rbfe_OCNT-2317556_solvent_OADMET-0006476_solvent,rbfe_OCNT-2317556_OADMET-0006476,solvent,COMPLETED,,,-85.16533703294994,0.0,inner,4567,NVIDIA GeForce GTX 1080 Ti,6.1,11165,gitter0000.chtc.wisc.edu,slot2_2@gitter0000.chtc.wisc.edu,1,0,1.2686111111111111
138,rbfe_OCNT-2309230_complex_OADMET-0006474_complex,rbfe_OCNT-2309230_OADMET-0006474,complex,COMPLETED,,,65.36349125720174,0.0,top,18506,NVIDIA GeForce GTX 1080 Ti,6.1,11165,gitter0000.chtc.wisc.edu,slot2_4@gitter0000.chtc.wisc.edu,1,0,5.140555555555555
138,rbfe_OCNT-2309230_solvent_OADMET-0006474_solvent,rbfe_OCNT-2309230_OADMET-0006474,solvent,COMPLETED,,,63.24149664214926,0.0,inner,4048,NVIDIA GeForce RTX 2080 Ti,7.5,10823,gpulab2001.chtc.wisc.edu,slot2_3@gpulab2001.chtc.wisc.edu,1,0,1.1244444444444444
139,rbfe_OADMET-0006506_complex_OADMET-0006433_complex,rbfe_OADMET-0006506_OADMET-0006433,complex,COMPLETED,,,16.02786189002251,0.0,inner,24268,NVIDIA GeForce GTX 1080 Ti,6.1,11165,gitter0000.chtc.wisc.edu,slot2_3@gitter0000.chtc.wisc.edu,1,0,6.7411111111111115
139,rbfe_OADMET-0006506_solvent_OADMET-0006433_solvent,rbfe_OADMET-0006506_OADMET-0006433,solvent,COMPLETED,,,14.39895858038812,0.0,inner,4311,NVIDIA GeForce GTX 1080 Ti,6.1,11165,gitter0000.chtc.wisc.edu,slot2_4@gitter0000.chtc.wisc.edu,1,0,1.1975
139,rbfe_OADMET-0006609_complex_OADMET-0006209_complex,rbfe_OADMET-0006609_OADMET-0006209,complex,COMPLETED,,,-85.93831977890726,0.0,inner,16749,NVIDIA GeForce RTX 2080 Ti,7.5,10823,gpulab2001.chtc.wisc.edu,slot2_5@gpulab2001.chtc.wisc.edu,1,0,4.6525
139,rbfe_OADMET-0006609_complex_OADMET-0006213_complex,rbfe_OADMET-0006609_OADMET-0006213,complex,COMPLETED,,,-9.060115541702531,0.0,inner,20395,NVIDIA A100-SXM4-80GB,8.0,81154,gpu2008.chtc.wisc.edu,slot2_2@gpu2008.chtc.wisc.edu,1,0,5.665277777777778
139,rbfe_OADMET-0006609_complex_OADMET-0006433_complex,rbfe_OADMET-0006609_OADMET-0006433,complex,COMPLETED,,,3.413940171937988,0.0,inner,13364,NVIDIA L40S,8.9,45460,zliu-chtcgpu5000.chtc.wisc.edu,backfill1_1@zliu-chtcgpu5000.chtc.wisc.edu,1,0,3.712222222222222
139,rbfe_OADMET-0006609_complex_OADMET-0006472_complex,rbfe_OADMET-0006609_OADMET-0006472,complex,COMPLETED,,,-10.94305828634102,0.0,inner,14233,NVIDIA H200,9.0,143166,gpu4004.chtc.wisc.edu,backfill1_2@gpu4004.chtc.wisc.edu,1,0,3.953611111111111
139,rbfe_OADMET-0006609_complex_OCNT-2313188_complex,rbfe_OADMET-0006609_OCNT-2313188,complex,COMPLETED,,,-11.596087784118978,0.0,inner,12713,NVIDIA L40S,8.9,45460,zliu-chtcgpu5000.chtc.wisc.edu,backfill1_2@zliu-chtcgpu5000.chtc.wisc.edu,1,0,3.531388888888889
139,rbfe_OADMET-0006609_solvent_OADMET-0006209_solvent,rbfe_OADMET-0006609_OADMET-0006209,solvent,COMPLETED,,,-87.8043226685932,0.0,inner,2832,NVIDIA L40S,8.9,45460,zliu-chtcgpu5000.chtc.wisc.edu,backfill1_3@zliu-chtcgpu5000.chtc.wisc.edu,1,0,0.7866666666666666
139,rbfe_OADMET-0006609_solvent_OADMET-0006213_solvent,rbfe_OADMET-0006609_OADMET-0006213,solvent,COMPLETED,,,-12.875752365098872,0.0,inner,2862,NVIDIA L40S,8.9,45460,zliu-chtcgpu5000.chtc.wisc.edu,backfill1_4@zliu-chtcgpu5000.chtc.wisc.edu,1,0,0.795
139,rbfe_OADMET-0006609_solvent_OADMET-0006433_solvent,rbfe_OADMET-0006609_OADMET-0006433,solvent,COMPLETED,,,4.1889995514466225,0.0,inner,4407,NVIDIA L40S,8.9,45460,zliu-chtcgpu5000.chtc.wisc.edu,backfill1_5@zliu-chtcgpu5000.chtc.wisc.edu,2,0,1.2241666666666666
139,rbfe_OADMET-0006609_solvent_OADMET-0006472_solvent,rbfe_OADMET-0006609_OADMET-0006472,solvent,COMPLETED,,,-6.339315076900044,0.0,inner,3045,NVIDIA L40S,8.9,45460,zliu-chtcgpu5000.chtc.wisc.edu,backfill1_6@zliu-chtcgpu5000.chtc.wisc.edu,1,0,0.8458333333333333
139,rbfe_OADMET-0006609_solvent_OCNT-2313188_solvent,rbfe_OADMET-0006609_OCNT-2313188,solvent,COMPLETED,,,-2.0972047224051944,0.0,inner,3430,NVIDIA GeForce RTX 2080 Ti,7.5,11004,ahlquist0000.chtc.wisc.edu,backfill1_5@ahlquist0000.chtc.wisc.edu,1,0,0.9527777777777777
