Molecule Name,exp_pEC50,category,CNNaffinity,CNNscore,minimizedAffinity,pred_pEC50_raw,n_hops
OADMET-0001562,4.52,train,,,,,
OCNT-1871086,2.61,train,,,,,
OCNT-2308577,5.03,train,,,,,
OADMET-0002309,2.87,train,,,,,
OADMET-0005856,5.04,train,,,,,
OADMET-0005177,5.21,train,,,,,
OADMET-0002659,5.87,train,,,,,
OCNT-2313196,3.98,train,,,,,
OADMET-0006281,,phase2,7.47898865,0.806827486,-9.38500881,1.4752928784074255,2.0
OCNT-1307627,2.55,train,,,,,
OADMET-0005389,4.87,train,,,,,
OCNT-1871093,2.54,train,,,,,
OADMET-0006559,4.245,phase1,7.31660986,0.875876248,-6.27507448,-1.3294270251541942,2.0
OADMET-0006075,5.03,train,,,,,
OCNT-2309266,4.175,train,,,,,
OADMET-0001916,4.95,train,,,,,
OADMET-0005880,5.19,train,,,,,
OADMET-0001606,3.99,train,,,,,
OCNT-1871068,2.9,train,,,,,
OCNT-2318427,5.89,train,,,,,
OADMET-0002949,4.97,train,,,,,
OADMET-0001502,4.57,train,,,,,
OADMET-0001177,4.84,train,,,,,
OCNT-2309765,4.39,train,,,,,
OADMET-0002814,5.28,train,,,,,
OADMET-0003010,5.63,train,,,,,
OADMET-0001973,5.19,train,,,,,
OADMET-0002006,5.19,train,,,,,
OCNT-0341264,3.46,train,,,,,
OADMET-0005144,4.6,train,,,,,
OCNT-2314797,5.36,train,,,,,
OCNT-0376650,4.38,train,,,,,
OCNT-2313245,5.17,train,,,,,
OADMET-0002617,5.67,train,,,,,
OCNT-2310978,5.17,train,,,,,
OADMET-0001731,2.75,train,,,,,
OCNT-1685167,2.82,train,,,,,
OADMET-0001692,1.89,train,,,,,
OCNT-2314707,5.4,train,,,,,
OADMET-0006051,5.11,train,,,,,
OCNT-0298540,4.5,train,,,,,
OCNT-2313216,4.5,train,,,,,
OCNT-0377310,3.35,train,,,,,
OADMET-0005835,3.63,train,,,,,
OADMET-0006180,5.86,phase1,7.57718277,0.754004419,-7.32806778,5.377560040870501,1.0
OCNT-2313484,5.28,train,,,,,
OCNT-0004259,2.64,train,,,,,
OADMET-0001505,3.86,train,,,,,
OADMET-0003104,5.46,train,,,,,
OCNT-2313342,4.84,train,,,,,
OADMET-0001065,3.31,train,,,,,
OADMET-0001990,5.29,train,,,,,
OADMET-0004153,5.36,train,,,,,
OCNT-0493187,4.84,train,,,,,
OADMET-0002936,4.64,train,,,,,
OADMET-0002311,2.95,train,,,,,
OADMET-0005342,5.2,train,,,,,
OADMET-0004772,4.68,train,,,,,
OADMET-0006554,,phase2,7.33067179,0.866314113,-8.44241524,,
OADMET-0002759,4.74,train,,,,,
OCNT-2309556,4.71,train,,,,,
OADMET-0006575,,phase2,7.81726646,0.781049907,-9.85754585,,
OADMET-0004980,5.35,train,,,,,
OADMET-0002756,4.87,train,,,,,
OADMET-0005940,5.22,train,,,,,
OADMET-0004920,4.68,train,,,,,
OCNT-2318180,5.57,train,,,,,
OADMET-0003388,5.5,train,,,,,
OADMET-0005597,4.77,train,,,,,
OADMET-0002708,1.84,train,,,,,
OCNT-2314662,4.63,train,,,,,
OADMET-0002015,4.12,train,,,,,
OADMET-0003175,4.86,train,,,,,
OADMET-0006129,5.44,phase1,7.4653306,0.78278774,-9.09243679,6.412371236675174,3.0
OADMET-0004090,3.75,train,,,,,
OCNT-0330059,3.12,train,,,,,
OADMET-0001500,4.41,train,,,,,
OADMET-0005829,5.38,train,,,,,
OADMET-0002849,5.44,train,,,,,
OCNT-1307803,3.25,train,,,,,
OCNT-0339768,3.91,train,,,,,
OADMET-0006359,,phase2,7.71973848,0.897215962,-8.00422764,5.433226283561117,2.0
OADMET-0003665,4.95,train,,,,,
OCNT-2328349,3.96,train,,,,,
OCNT-2315456,2.93,train,,,,,
OCNT-0464827,6.14,train,,,,,
OCNT-0464250,5.26,train,,,,,
OCNT-2310319,4.78,train,,,,,
OCNT-2310946,4.97,train,,,,,
OADMET-0005544,4.8,train,,,,,
OCNT-2318534,3.96,train,,,,,
OADMET-0005525,5.54,train,,,,,
OCNT-2313201,5.53,train,,,,,
OCNT-0368418,3.48,train,,,,,
OADMET-0001974,3.67,train,,,,,
OADMET-0001240,3.38,train,,,,,
OADMET-0001002,3.6,train,,,,,
OCNT-2313758,5.0,train,,,,,
OADMET-0004679,5.23,train,,,,,
OADMET-0001815,2.81,train,,,,,
OCNT-1871038,2.82,train,,,,,
OCNT-0338562,3.62,train,,,,,
OCNT-2315390,5.26,train,,,,,
OCNT-2312680,6.13,train,,,,,
OADMET-0001457,2.9,train,,,,,
OADMET-0005090,5.44,train,,,,,
OADMET-0003771,2.51,train,,,,,
OADMET-0003420,5.3,train,,,,,
OCNT-1965885,3.0,train,,,,,
OADMET-0002736,4.91,train,,,,,
OCNT-2317688,4.45,train,,,,,
OCNT-2312825,5.28,train,,,,,
OCNT-2313630,5.17,train,,,,,
OADMET-0005696,4.22,train,,,,,
OADMET-0004817,4.78,train,,,,,
OCNT-2308698,5.26,train,,,,,
OADMET-0002994,4.73,train,,,,,
OADMET-0001769,3.52,train,,,,,
OADMET-0004881,4.42,train,,,,,
OADMET-0002671,5.3,train,,,,,
OADMET-0005637,4.09,train,,,,,
OADMET-0005455,5.09,train,,,,,
OCNT-2310839,5.34,train,,,,,
OADMET-0005774,5.05,train,,,,,
OCNT-2315553,4.68,train,,,,,
OCNT-0297614,3.15,train,,,,,
OCNT-2308941,4.99,train,,,,,
OCNT-2317443,5.41,train,,,,,
OCNT-2308739,4.66,train,,,,,
OCNT-0493196,4.68,train,,,,,
OADMET-0002609,4.67,train,,,,,
OCNT-2317645,5.18,train,,,,,
OCNT-2311653,4.3,train,,,,,
OADMET-0004936,3.97,train,,,,,
OCNT-1871057,3.24,train,,,,,
OCNT-2312004,5.4,train,,,,,
OADMET-0006374,5.6,phase1,7.54611015,0.756931424,-8.71084213,3.4005344979423997,2.0
OADMET-0002164,2.82,train,,,,,
OCNT-0319218,4.6,train,,,,,
OADMET-0005481,4.96,train,,,,,
OADMET-0003375,5.19,train,,,,,
OADMET-0006276,,phase2,6.91854334,0.587454736,-7.43367052,,
OADMET-0006182,5.505,phase1,7.509552,0.908907354,-8.36579609,,
OADMET-0001565,3.07,train,,,,,
OADMET-0005630,4.63,train,,,,,
OCNT-2309525,5.5,train,,,,,
OADMET-0006410,2.535,phase1,7.37140894,0.889423549,-8.99953747,,
OCNT-2313222,5.8,train,,,,,
OCNT-2317344,5.23,train,,,,,
OADMET-0002889,4.79,train,,,,,
OCNT-2314278,4.86,train,,,,,
OCNT-1307710,1.96,train,,,,,
OADMET-0003595,2.51,train,,,,,
OADMET-0002910,5.035,train,,,,,
OADMET-0001817,3.77,train,,,,,
OADMET-0002945,2.68,train,,,,,
OCNT-2310944,1.76,train,,,,,
OCNT-2312769,5.27,train,,,,,
OADMET-0001117,3.42,train,,,,,
OCNT-2317134,6.470000000000001,train,7.84246254,0.87129581,-9.03813744,,
OADMET-0005643,4.29,train,,,,,
OADMET-0001071,2.86,train,,,,,
OCNT-1307834,4.33,train,,,,,
OCNT-2309530,5.88,train,,,,,
OADMET-0002779,5.3,train,,,,,
OADMET-0004800,4.44,train,,,,,
OCNT-2317486,3.79,train,,,,,
OCNT-2313103,5.28,train,,,,,
OCNT-2312323,5.13,train,,,,,
OCNT-2310121,4.93,train,,,,,
OADMET-0004969,4.97,train,,,,,
OADMET-0003589,3.73,train,,,,,
OADMET-0005990,4.84,train,,,,,
OADMET-0006088,5.08,train,,,,,
OCNT-2314212,5.66,train,,,,,
OCNT-2317296,5.975,train,7.82561636,0.809274733,-7.25491047,,
OCNT-2308616,4.85,train,,,,,
OCNT-2309670,5.45,train,,,,,
OCNT-2318376,4.85,train,,,,,
OCNT-2314780,5.13,train,,,,,
OADMET-0006243,,phase2,7.8506875,0.632503629,-7.86338949,3.434557000732278,3.0
OADMET-0005943,5.0,train,,,,,
OADMET-0000988,3.79,train,,,,,
OCNT-2318484,5.02,train,,,,,
OCNT-1965926,4.58,train,,,,,
OADMET-0003620,3.89,train,,,,,
OCNT-1900050,2.52,train,,,,,
OADMET-0005220,5.16,train,,,,,
OCNT-2314980,5.19,train,,,,,
OADMET-0002565,5.55,train,,,,,
OCNT-0374764,2.97,train,,,,,
OCNT-2312665,4.72,train,,,,,
OADMET-0006287,4.055,phase1,7.81492996,0.687831759,-8.43174553,,
OCNT-2313336,4.75,train,,,,,
OADMET-0002844,5.88,train,,,,,
OADMET-0003585,1.74,train,,,,,
OCNT-2313373,5.63,train,,,,,
OADMET-0001186,3.7,train,,,,,
OCNT-0722654,1.91,train,,,,,
OCNT-2311886,4.4,train,,,,,
OCNT-2312064,5.14,train,,,,,
OADMET-0006379,2.97,phase1,7.77882624,0.80162859,-7.79288673,,
