subset,predictor,n,pearson,spearman,mae_vs_pEC50
phase1,CNNaffinity,253,0.2017016960096551,0.2764600864445046,
phase1,CNNscore,253,0.04583675539758635,0.07828451944516716,
phase1,minimizedAffinity,253,-0.054564720599773985,-0.11992031791990883,
phase1,pred_pEC50_raw,152,0.14650816858713814,0.16934052897302435,2.423159856187107
train,CNNaffinity,0,,,
train,CNNscore,0,,,
train,minimizedAffinity,0,,,
train,pred_pEC50_raw,0,,,
phase1+train,CNNaffinity,253,0.2017016960096551,0.2764600864445046,
phase1+train,CNNscore,253,0.04583675539758635,0.07828451944516716,
phase1+train,minimizedAffinity,253,-0.054564720599773985,-0.11992031791990883,
phase1+train,pred_pEC50_raw,152,0.14650816858713814,0.16934052897302435,2.423159856187107
