status,wall_clock_s,wall_clock_h,host,size_mb,cluster_id,transform_name,is_complex
COMPLETED,,,gpu2011,1.6,110,rbfe_OADMET-0006503_complex_OCNT-2317296_complex,True
COMPLETED,,,gpu4002,0.8,110,rbfe_OADMET-0006503_solvent_OCNT-2317296_solvent,False
COMPLETED,10866.0,3.0183333333333335,vetsigian0001,11.6,118,rbfe_OCNT-2310728_complex_OADMET-0006495_complex,True
COMPLETED,2200.0,0.6111111111111112,jcaicedogpu0002,3.2,118,rbfe_OCNT-2310728_solvent_OADMET-0006495_solvent,False
COMPLETED,19031.0,5.286388888888889,gitter0000,11.9,129,rbfe_OADMET-0006484_complex_OCNT-2317528_complex,True
COMPLETED,4367.0,1.2130555555555556,gpulab2001,3.4,129,rbfe_OADMET-0006484_solvent_OCNT-2317528_solvent,False
COMPLETED,,,gpu4002,3.1,136,rbfe_OCNT-2317556_complex_OADMET-0006476_complex,True
COMPLETED,4567.0,1.2686111111111111,gitter0000,3.9,136,rbfe_OCNT-2317556_solvent_OADMET-0006476_solvent,False
COMPLETED,,,gpu4002,1.6,138,rbfe_OCNT-2309230_complex_OADMET-0006474_complex,True
COMPLETED,4048.0,1.1244444444444444,gpulab2001,3.2,138,rbfe_OCNT-2309230_solvent_OADMET-0006474_solvent,False
COMPLETED,24268.0,6.7411111111111115,gitter0000,13.0,139,rbfe_OADMET-0006506_complex_OADMET-0006433_complex,True
COMPLETED,4311.0,1.1975,gitter0000,3.5,139,rbfe_OADMET-0006506_solvent_OADMET-0006433_solvent,False
COMPLETED,16749.0,4.6525,gpulab2001,12.7,139,rbfe_OADMET-0006609_complex_OADMET-0006209_complex,True
COMPLETED,20395.0,5.665277777777778,gpu2008,13.0,139,rbfe_OADMET-0006609_complex_OADMET-0006213_complex,True
COMPLETED,13364.0,3.712222222222222,zliu-chtcgpu5000.chtc.wisc.edu,12.9,139,rbfe_OADMET-0006609_complex_OADMET-0006433_complex,True
COMPLETED,14233.0,3.953611111111111,gpu4004,13.2,139,rbfe_OADMET-0006609_complex_OADMET-0006472_complex,True
COMPLETED,12713.0,3.531388888888889,zliu-chtcgpu5000.chtc.wisc.edu,13.2,139,rbfe_OADMET-0006609_complex_OCNT-2313188_complex,True
COMPLETED,2832.0,0.7866666666666666,zliu-chtcgpu5000.chtc.wisc.edu,3.2,139,rbfe_OADMET-0006609_solvent_OADMET-0006209_solvent,False
COMPLETED,2862.0,0.795,zliu-chtcgpu5000.chtc.wisc.edu,3.5,139,rbfe_OADMET-0006609_solvent_OADMET-0006213_solvent,False
COMPLETED,4407.0,1.2241666666666666,ahlquist0000,3.5,139,rbfe_OADMET-0006609_solvent_OADMET-0006433_solvent,False
COMPLETED,3045.0,0.8458333333333333,zliu-chtcgpu5000.chtc.wisc.edu,3.6,139,rbfe_OADMET-0006609_solvent_OADMET-0006472_solvent,False
COMPLETED,3430.0,0.9527777777777777,ahlquist0000,3.6,139,rbfe_OADMET-0006609_solvent_OCNT-2313188_solvent,False
COMPLETED,12598.0,3.4994444444444444,ahlquist0000,11.7,146,rbfe_OADMET-0006465_complex_OCNT-2311117_complex,True
COMPLETED,4290.0,1.1916666666666667,ahlquist0000,3.6,146,rbfe_OADMET-0006465_solvent_OCNT-2311117_solvent,False
COMPLETED,14498.0,4.027222222222222,ahlquist0000,12.3,147,rbfe_OADMET-0006464_complex_OCNT-2317682_complex,True
COMPLETED,2921.0,0.8113888888888889,gpu4006.chtc.wisc.edu,3.3,147,rbfe_OADMET-0006464_solvent_OCNT-2317682_solvent,False
COMPLETED,,,gpu014,3.2,156,rbfe_OADMET-0006455_complex_OCNT-2312239_complex,True
COMPLETED,2955.0,0.8208333333333333,gpu4006.chtc.wisc.edu,4.9,156,rbfe_OADMET-0006455_solvent_OCNT-2312239_solvent,False
COMPLETED,,,gpu4002,2.6,167,rbfe_OADMET-0006443_complex_OCNT-2310646_complex,True
COMPLETED,,,gpu4002,1.9,167,rbfe_OADMET-0006443_solvent_OCNT-2310646_solvent,False
COMPLETED,,,gpu06,3.1,169,rbfe_OADMET-0006469_complex_OCNT-2315366_complex,True
COMPLETED,3167.0,0.8797222222222222,coba2000,4.0,169,rbfe_OADMET-0006469_solvent_OCNT-2315366_solvent,False
COMPLETED,,,gpu4006.chtc.wisc.edu,3.1,169,rbfe_OADMET-0006580_complex_OCNT-2315366_complex,True
COMPLETED,3953.0,1.0980555555555556,coba2000,3.9,169,rbfe_OADMET-0006580_solvent_OCNT-2315366_solvent,False
COMPLETED,,,gpu4002,3.1,169,rbfe_OCNT-2315366_complex_OADMET-0006441_complex,True
COMPLETED,,,gpu4002,2.0,169,rbfe_OCNT-2315366_solvent_OADMET-0006441_solvent,False
COMPLETED,,,gpu2005,4.2,171,rbfe_OCNT-2312559_complex_OADMET-0006439_complex,True
COMPLETED,2315.0,0.6430555555555556,blengerichgpu4000,3.5,171,rbfe_OCNT-2312559_solvent_OADMET-0006439_solvent,False
COMPLETED,,,gpu4002,5.9,178,rbfe_OCNT-2317556_complex_OADMET-0006432_complex,True
COMPLETED,2337.0,0.6491666666666667,zliu-chtcgpu5000.chtc.wisc.edu,4.0,178,rbfe_OCNT-2317556_solvent_OADMET-0006432_solvent,False
COMPLETED,8615.0,2.3930555555555557,blengerichgpu4000,12.4,188,rbfe_OADMET-0006417_complex_OADMET-0006293_complex,True
COMPLETED,3424.0,0.9511111111111111,qa-rtx6k-030.crc.nd.edu,2.0,188,rbfe_OADMET-0006417_solvent_OADMET-0006293_solvent,False
COMPLETED,,,gpu4002,4.0,188,rbfe_OADMET-0006421_complex_OADMET-0006417_complex,True
COMPLETED,3220.0,0.8944444444444445,jcaicedogpu0000,3.4,188,rbfe_OADMET-0006421_solvent_OADMET-0006417_solvent,False
COMPLETED,8340.0,2.316666666666667,amuraligpu4000,12.5,188,rbfe_OADMET-0006434_complex_OADMET-0006417_complex,True
COMPLETED,2219.0,0.6163888888888889,blengerichgpu4000,3.5,188,rbfe_OADMET-0006434_solvent_OADMET-0006417_solvent,False
COMPLETED,11847.0,3.2908333333333335,vetsigian0001,12.2,188,rbfe_OADMET-0006486_complex_OADMET-0006422_complex,True
COMPLETED,,,gpu4002,1.3,188,rbfe_OADMET-0006486_solvent_OADMET-0006422_solvent,False
COMPLETED,20710.0,5.752777777777778,gpu2011,12.4,188,rbfe_OADMET-0006487_complex_OADMET-0006293_complex,True
COMPLETED,11654.0,3.237222222222222,qa-rtx6k-035.crc.nd.edu,11.0,188,rbfe_OADMET-0006487_complex_OADMET-0006422_complex,True
COMPLETED,3322.0,0.9227777777777778,gpu2011,3.5,188,rbfe_OADMET-0006487_solvent_OADMET-0006293_solvent,False
COMPLETED,3171.0,0.8808333333333334,gpulab2001,3.4,188,rbfe_OADMET-0006487_solvent_OADMET-0006422_solvent,False
COMPLETED,10562.0,2.9338888888888888,3dd51df4d4e0,11.0,188,rbfe_OADMET-0006549_complex_OADMET-0006417_complex,True
COMPLETED,3831.0,1.0641666666666667,gpu2005,3.4,188,rbfe_OADMET-0006549_solvent_OADMET-0006417_solvent,False
COMPLETED,14366.0,3.9905555555555554,spark-agpu225,14.8,188,rbfe_OADMET-0006592_complex_OADMET-0006417_complex,True
COMPLETED,3190.0,0.8861111111111111,dsigpu4001,3.3,188,rbfe_OADMET-0006592_solvent_OADMET-0006417_solvent,False
COMPLETED,,,gpu4006.chtc.wisc.edu,1.7,188,rbfe_OCNT-2311393_complex_OADMET-0006422_complex,True
COMPLETED,3726.0,1.035,qa-v100-010.crc.nd.edu,2.0,188,rbfe_OCNT-2311393_solvent_OADMET-0006422_solvent,False
COMPLETED,,,gpu4002,10.3,191,rbfe_OADMET-0006521_complex_OADMET-0006419_complex,True
COMPLETED,,,coba2000,3.3,191,rbfe_OADMET-0006521_complex_OCNT-1965882_complex,True
COMPLETED,2181.0,0.6058333333333333,gpu4006.chtc.wisc.edu,4.0,191,rbfe_OADMET-0006521_solvent_OADMET-0006419_solvent,False
COMPLETED,2829.0,0.7858333333333334,gpu07,2.6,191,rbfe_OADMET-0006521_solvent_OCNT-1965882_solvent,False
COMPLETED,8556.0,2.3766666666666665,jcaicedogpu0002,11.9,195,rbfe_OADMET-0006415_complex_OCNT-2309628_complex,True
COMPLETED,2257.0,0.6269444444444444,gpu4000,3.1,195,rbfe_OADMET-0006415_solvent_OCNT-2309628_solvent,False
COMPLETED,,,qa-rtx6k-024.crc.nd.edu,3.9,196,rbfe_OADMET-0006414_complex_OCNT-2308748_complex,True
COMPLETED,4326.0,1.2016666666666667,gpu014,2.1,196,rbfe_OADMET-0006414_solvent_OCNT-2308748_solvent,False
COMPLETED,10202.0,2.8338888888888887,gpu4000,12.4,197,rbfe_OADMET-0006413_complex_OCNT-2317298_complex,True
COMPLETED,4149.0,1.1525,gpu09,2.1,197,rbfe_OADMET-0006413_solvent_OCNT-2317298_solvent,False
COMPLETED,10783.0,2.995277777777778,gpu021,10.5,21,rbfe_OCNT-2309356_complex_OADMET-0006596_complex,True
COMPLETED,,,dbrundage-chtcgpu5000.chtc.wisc.edu,1.5,21,rbfe_OCNT-2309356_solvent_OADMET-0006596_solvent,False
COMPLETED,,,qa-rtx6k-020.crc.nd.edu,3.2,228,rbfe_OADMET-0006379_complex_OCNT-2308873_complex,True
COMPLETED,,,gpulab2003,2.1,228,rbfe_OADMET-0006379_solvent_OCNT-2308873_solvent,False
COMPLETED,,,gpu2011,3.1,229,rbfe_OADMET-0006378_complex_OCNT-2317222_complex,True
COMPLETED,3919.0,1.0886111111111112,gpu2004,3.9,229,rbfe_OADMET-0006378_solvent_OCNT-2317222_solvent,False
COMPLETED,11022.0,3.0616666666666665,gpu019,10.6,232,rbfe_OADMET-0006374_complex_OADMET-0006395_complex,True
COMPLETED,,,gpu4002,1.3,232,rbfe_OADMET-0006374_solvent_OADMET-0006395_solvent,False
COMPLETED,10548.0,2.93,gpu019,10.6,232,rbfe_OADMET-0006442_complex_OADMET-0006374_complex,True
COMPLETED,13770.0,3.825,rails09,10.6,232,rbfe_OADMET-0006442_complex_OCNT-2309628_complex,True
COMPLETED,5955.0,1.6541666666666666,gpu01,1.8,232,rbfe_OADMET-0006442_solvent_OADMET-0006374_solvent,False
COMPLETED,2806.0,0.7794444444444445,gpu019,1.8,232,rbfe_OADMET-0006442_solvent_OCNT-2309628_solvent,False
COMPLETED,13616.0,3.7822222222222224,epyc10,10.5,232,rbfe_OADMET-0006499_complex_OCNT-2309628_complex,True
COMPLETED,3446.0,0.9572222222222222,qa-rtx6k-029.crc.nd.edu,1.8,232,rbfe_OADMET-0006499_solvent_OCNT-2309628_solvent,False
COMPLETED,,,gpu2011,3.7,232,rbfe_OADMET-0006600_complex_OADMET-0006374_complex,True
COMPLETED,,,gpu4002,1.3,232,rbfe_OADMET-0006600_solvent_OADMET-0006374_solvent,False
COMPLETED,,,gpu4002,3.3,237,rbfe_OADMET-0006369_complex_OCNT-2309356_complex,True
COMPLETED,3779.0,1.0497222222222222,gpu07,2.8,237,rbfe_OADMET-0006369_solvent_OCNT-2309356_solvent,False
COMPLETED,,,gpu4002,3.3,237,rbfe_OCNT-2309356_complex_OADMET-0006604_complex,True
COMPLETED,4471.0,1.2419444444444445,qa-rtx6k-031.crc.nd.edu,2.9,237,rbfe_OCNT-2309356_solvent_OADMET-0006604_solvent,False
COMPLETED,,,gpu4002,3.4,238,rbfe_OADMET-0006368_complex_OADMET-0004676_complex,True
COMPLETED,,,dsigpu4001,3.4,238,rbfe_OADMET-0006368_complex_OADMET-0006140_complex,True
COMPLETED,,,gpu2011,2.1,238,rbfe_OADMET-0006368_solvent_OADMET-0004676_solvent,False
COMPLETED,4016.0,1.1155555555555556,coba2000,4.0,238,rbfe_OADMET-0006368_solvent_OADMET-0006140_solvent,False
COMPLETED,,,dsigpu4001,3.4,238,rbfe_OADMET-0006430_complex_OADMET-0004676_complex,True
COMPLETED,2210.0,0.6138888888888889,zliu-chtcgpu5000.chtc.wisc.edu,4.0,238,rbfe_OADMET-0006430_solvent_OADMET-0004676_solvent,False
COMPLETED,,,gpu4002,3.4,238,rbfe_OADMET-0006617_complex_OCNT-2314792_complex,True
COMPLETED,2948.0,0.8188888888888889,gpu06,2.5,238,rbfe_OADMET-0006617_solvent_OCNT-2314792_solvent,False
COMPLETED,,,gpu4003,3.4,238,rbfe_OCNT-2309868_complex_OCNT-2314792_complex,True
COMPLETED,,,gpu4006.chtc.wisc.edu,2.1,238,rbfe_OCNT-2309868_solvent_OCNT-2314792_solvent,False
COMPLETED,,,gpulab2003,3.4,238,rbfe_OCNT-2314792_complex_OADMET-0006117_complex,True
COMPLETED,,,gpu4002,4.1,238,rbfe_OCNT-2314792_complex_OADMET-0006285_complex,True
COMPLETED,,,vetsigian0001,5.0,238,rbfe_OCNT-2314792_complex_OADMET-0006294_complex,True
COMPLETED,,,gpu4006.chtc.wisc.edu,4.0,238,rbfe_OCNT-2314792_complex_OADMET-0006430_complex,True
COMPLETED,,,gpu4002,3.4,238,rbfe_OCNT-2314792_complex_OADMET-0006445_complex,True
COMPLETED,3829.0,1.063611111111111,epyc04,2.6,238,rbfe_OCNT-2314792_solvent_OADMET-0006117_solvent,False
